Operation,Details,Date
175682188385206291,GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3 transferred 1 PENDULUMSWAP-GBBIIQAP7H6H5WIGUUFTAHJMH7FDHYAEYQN2F2XUUWN5BCTYOYAPPEND 0.0062023 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0031734 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3,2022-05-16 19:46:12 UTC
175682188385206287,GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3 transferred 5 OGC-GDXBHPKWVU7VT5ZOHK5JQDOZS5XMKWOLKBXXXX5JOSVEAIDZFDS6ABDC 0.0456864 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0231125 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3,2022-05-16 19:46:12 UTC
175682188385206283,GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3 transferred 2 Spacewalk-GBBIIQAP7H6H5WIGUUFTAHJMH7FDHYAEYQN2F2XUUWN5BCTYOYAPPEND 0.0121889 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0062345 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3,2022-05-16 19:46:12 UTC
175682188385206279,GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3 transferred 5 MELD-GDXBHPKWVU7VT5ZOHK5JQDOZS5XMKWOLKBXXXX5JOSVEAIDZFDS6ABDC 0.0164093 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0083926 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3,2022-05-16 19:46:12 UTC
175682188385206275,GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3 transferred 3 STARLIGHT-GBBIIQAP7H6H5WIGUUFTAHJMH7FDHYAEYQN2F2XUUWN5BCTYOYAPPEND 0.0186151 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0095198 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3,2022-05-16 19:46:12 UTC
175682188384706562,"GALVNE5GC6TMDESFPXU4UVD6QD44SAN5NMWO5DBJ4ASB2DHQIZ5M2CIW updated offer 989054357 – sell 7,122.3726274 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA for yXLM-GARDNV3Q7YGT4AKSDF25LT32YSCCW4EV22Y2TV3I2PU2MMXJTEDL5T55 at 0.017 yXLM/AQUA",2022-05-16 19:46:12 UTC
175682188384706561,GALVNE5GC6TMDESFPXU4UVD6QD44SAN5NMWO5DBJ4ASB2DHQIZ5M2CIW updated offer 984301164 – sell 423.9683449 yXLM-GARDNV3Q7YGT4AKSDF25LT32YSCCW4EV22Y2TV3I2PU2MMXJTEDL5T55 for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 63.9 AQUA/yXLM,2022-05-16 19:46:12 UTC
175682188384256017,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991125887 – sell 0.1669986 USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 465 AQUA/USDC,2022-05-16 19:46:12 UTC
175682188384256016,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991117396 – sell 0.09277 USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 458 AQUA/USDC,2022-05-16 19:46:12 UTC
175682188384256015,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991090884 – sell 0.0929554 USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 456 AQUA/USDC,2022-05-16 19:46:12 UTC
175682188384256014,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991090153 – sell 0.0931411 USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 454 AQUA/USDC,2022-05-16 19:46:12 UTC
175682188384256013,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991078783 – sell 0.0933272 USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 452 AQUA/USDC,2022-05-16 19:46:12 UTC
175682188384256012,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991118643 – sell 0.092585 USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 460 AQUA/USDC,2022-05-16 19:46:12 UTC
